"","sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"49","139A",128888832,324432,5167872,47448064,,4997888,,,2636800,,15750144,28261376,15181824,3614464,23312384,,10429440,,,13642752,,,13234176,3505408,3958272,,14898176,,49508352,,,1515072,,,5767936,32450560,,,7013120,10843136,,15496192,,42737664,1375104,,399261696,,,,,,,,365280,,,,11820032,26420224,183369728,,10255360,117936128,8054016,10716160,17018880,2894080,,,1223424,,,435617792,17751040,2059648,4436736,,,,,,,7943936,2233600,,981120,1686528,,16121856,,1565696,949120,,,,24448000,2143488,13124608,4194560,,25662464,4270336,,927040,1591680,,,,4572416,,,,1403518976,,,,31760384,,1353664,1297728,,2168064,443200,,,,,,783616,,1479671808,,,,,,1616256,,,,,,,,,,,,,,,,3655424,,,,,,765952,,,,,,,1437204480,,303939584,,21159936,,6965504,1403776,,,2518784
"50","143A",67371008,,13551616,106934272,,2477312,4352256,,,,5668608,66576384,28141568,,25501696,,13698048,,,31273984,,,59265024,60301312,2496768,,1022016,,81473536,,,1218752,,,,279019520,,,28874752,,,139608064,,21780480,19607552,,1089863680,,,1048896,,,4885248,201584,,,,,308428800,71782400,47685632,,85741568,35192832,14145536,22713344,,2729984,,17614848,,,,550502400,,,1947072,,860480,,1547840,,,10696704,,3090944,,5281792,,555352064,,52645888,16685056,,,,16902144,,3679232,2217984,,48332800,22594560,,,,,,,11817984,,,,10175488,,16197632,,18775040,,2384384,1946496,,1483776,503584,,,,,,1975232,899456,137920512,,6694912,8098048,,7229440,,,,,733376,,,,,,1810112,345792,,,,,,,,,,,,,462944,,,,,8530944,,139362304,,10916864,,,802304,14408704,,881792
"51","145A",5516032,,11528192,,17936384,2291712,,,1120640,,59199488,,27934720,1070592,,,5503232,,,,5186048,19615744,,606464,,,6036992,,14509056,,1321280,1202304,1690688,,1928128,,5830144,,,4375808,,,7183104,,335616,,72077312,,,,405824,2899968,1500672,,,,1379840,,,,17283072,26903552,,14914560,6045440,,,1799552,4193024,,21551104,,,28509184,,,7320832,,,,2058112,3439616,,12040192,,,1716416,1840448,,,1008960,,7394048,,,,13176832,,12091392,1272768,,47325184,136003584,,,1143936,,,,133697536,,,,9207808,,,,62758912,,1600512,1403200,,1399104,,,,,,,,2712576,1512964096,454901760,,,,,,,,,,,,,,,,,,,,,,,,986624,,,,,455728,,1340864,,,1212416000,6388224,8699904,,23325696,,,,,,7543040
"52","147A",19790848,407664,9340928,21206016,,4220672,3850240,,,,14148608,73506816,29169664,2883328,8714240,,18265088,,,6672640,,,15644672,25752576,1561216,,3352320,,100151296,,,748928,,1224768,2481664,14015488,,,7453184,4989696,,36712448,,44519424,16903168,,895614976,,,874624,,,,,67194880,,,,16402432,9049088,145457152,,23873536,87724032,31273984,21549056,,2379520,,65515520,2221312,,,718667776,8660992,2504192,,,,,,4361216,10543104,18914304,5562368,2518272,1011136,4029952,,58683392,,36892672,,11269120,,,10351616,,5282816,,13076480,102412288,30417920,1047658496,,,,,,28613632,,,4060416,69554176,,16442368,5632000,52563968,,7404032,3792896,2826240,2696448,770048,116330496,,,500368,,4896256,781440,659750912,169754624,10710016,16587776,,22425600,,,,1500352,,,,5385984,,,1914816,1068224,,,1862016,,,,,1503424,810688,3054592,,,,,,,,303972352,,25375744,,12060672,,2536448,,11521024,,1750976
"53","151A",,,10704896,,136200192,15709184,,,,980928,132608000,,77434880,2312960,,,12494848,,,,,85258240,,,,,43864064,2434304,15384576,,,15747072,,,3812864,,3134976,,,7291136,1152512,,8419328,4699904,,,43106304,5200384,,,2895360,1707840,,,78471168,,,,,,26320896,101994496,,21961728,13111296,,,2774272,2042240,,57696256,2317312,,78286848,4200960,,13106176,,,,109903872,8031232,,22128640,,,4996096,,4543488,,2821120,,5516544,3265792,,,17933312,,28877824,2362624,,204128256,33433600,,,1223040,,,,53129216,3760384,,,165085184,,,,84664320,489856,4246272,13185024,,1754112,,1298368,,,,,,69292032,1487077376,,,,2496768,,,,,995776,,,,,,,,,2144000,2513920,,,,,,2188800,,,,,,422048,2368768,,,440811520,454224,18327552,1115840,43855872,4640000,,2027072,,,24688640
"54","155A",100233216,,12797952,8976384,,,8182528,,,,28015616,26633216,16162816,6064128,,,6592512,,,9056256,,9948160,6787584,11839488,,,6836736,,83734528,,,4915456,1793600,1324800,13302784,12128256,,,12902400,,,,5618432,18989056,4493312,,453050368,,,,,,2523136,,213221376,,,,6966784,3941376,75055104,14892032,,41156608,,,,2760192,4096512,6741248,16953344,,,266354688,7586304,,4404224,,,,1306560,,,46747648,,2568960,955904,7405312,,1806720,,,862848,,,,22323200,2944768,7872000,2201600,1619264,105660416,17714176,,,,,,,11594752,,,,13935616,,,,51912704,,1950912,,,1477760,,1709248,,,,,,,548274176,,,,,,971200,,,,,,,,,,,,,,,,,,,,,,,,244448,,,,,509902848,,36036608,1497216,8153344,1668224,,,6017792,,3813632
"55","159A",,,3713280,,59826176,4678144,,,,,26894336,44183552,23755776,3098112,,,24709120,,,,2614528,3906304,,,,,151453696,,50556928,,,3682816,,,3585792,,,,,13338624,,,5152000,104886272,,,536936448,,,,235072,,1686656,216800,,,,,,,377176064,11471872,,254099456,39026688,,,2505984,,,7143168,,,573440000,,,4929792,,,,2806272,,,11484160,1139072,,1792256,,1707904,,,,4808960,,141361152,,18476032,14341120,11635712,2073984,,30251008,11296768,,,,701056,,,9773056,,,,8057856,,,,36573184,,2327296,,,1889088,1466816,41639936,,,,,,2939136,2257321984,1132658688,,,,,4928512,2599168,,,,,,,,,452336,,812736,83488768,,,,,,865984,,,,,2031936,,,,,399245312,,,710464,61132800,6752256,,1589888,,,3973632
"56","165A",,,12733440,,13720576,,,,,,112656384,,67530752,973632,,,14109696,,,,,47513600,,,,,151355392,,,,,5349888,,,,,2027136,,,2773248,,,12162048,,,,18097152,5046528,,,,,,,155090944,,,,,,4549888,76791808,,4891904,12065792,,,2629888,,,6792192,,,5916416,2339328,,7799040,,,,2432256,,,3058688,3393536,,1046528,,,,586496,,,,38068224,,9417728,2810368,14045184,1802752,,59482112,3437824,,,1021056,,,,1155392,,,,1937792,265744,,,88576000,,2024832,664512,,969600,845056,,,,,,,1307456,522911744,,,,,,557504,,,,,,,,,,,,,,,,,,,1175232,,,267872,,391312,,476992,,,303448064,778112,8603648,,10261504,6044672,,,,,18359296
"57","4A",,1145280,7684096,,69345280,,,,,,32198656,11181056,16355328,3208960,,,16125952,,,,4415488,5738240,,669696,,,177209344,,42209280,,28446720,3559680,,715968,7058176,1970880,,,,10057728,,,11301888,54034432,1109760,,354172928,,,,,1343232,,233376,,,,,,861696,233881600,36700160,,158384128,20734976,,,5721344,3261696,,15015936,,,,5416960,,6302976,,,,4011520,,3560704,7293440,7293440,3896576,7079168,2405632,,,1840896,,3471104,,147111936,,51052544,4370944,16928768,5571584,,26482688,60387328,35598336,,3396608,,,,64372736,1383168,,,2227200,337632,,,43655168,,1744448,741632,,7571456,2736384,,,,,,,8266752,1501757440,646643712,,,,,3859968,,,,,,,,,,502016,,,49864704,,,,,,,,,,,,,3300096,,,173686784,,9071616,1557632,112009216,2222080,,1982016,,,6065920
"58","10A",10544128,343472,8639488,,16670720,,844416,,1749248,,21519360,73027584,29168640,4926208,,,20377600,,,,,6639360,,4418816,,2601472,,,111796224,,3304704,,,,4333056,3257600,,,,5258496,,4073216,9609216,62087168,2787328,,767426560,,,,,,,,,,2599680,,5603584,,232226816,29024256,,130072576,37027840,,,3798016,,15757312,2871296,,,648675328,7058432,2138368,6256128,,,,2311424,6564608,1410752,,1410752,,4839424,2947328,,11049984,,7096064,,4863488,,,15984640,10602496,10365952,7032320,4868352,44670976,10534912,,,,,,,7704576,,,,24564736,,5647360,1272768,60469248,,5085696,1051776,,5764608,1237568,128659456,,,904832,,,2415104,638713856,164659200,,5286144,799424,2130432,2152960,,,,,,,,,,2251520,,,,894592,,1548288,,,1248512,,,,,,,604800,,,237862912,,11786240,,33804288,1118656,,1112512,2590464,,3350016
"59","12A",6047488,,15645696,,10303488,2073024,,,,,34701312,18253824,14330880,3914496,,,3258880,,,,,12698624,,1263104,,,17733632,,46403584,,1592896,8975360,2036736,,5506304,2847488,3360000,,,1408256,,,4294400,44068864,,,511279104,,,,627584,,,565888,218284032,,,,2004032,,197656576,20739072,,124506112,7365376,,,2481920,,,,,,378519552,15349760,,8892416,,,3086592,1853632,,,36737024,,,3017984,1696064,,7790592,5547264,,53149696,,,,32567296,2017152,11333632,3014656,,156155904,97751040,,,2314752,,,,141901824,,,,13591552,,,,73154560,,3251712,14449664,,2069120,1154304,,,,,,1336512,2480896,1389756416,938213376,,,,1397632,2754816,,,,606784,,2604032,4324864,,657216,2122240,,,,,,23205888,,,1175232,,3457024,,,2172160,615168,1192000,,,1257373696,650816,9128960,756352,18074624,3502592,3097600,,,,4783616
"60","20A",,,15007744,,7942144,,,,,,57692160,42098688,29331456,5158400,,,5417216,,,,,15874048,,,,,4420352,,41000960,,,1048832,2138880,,7689728,,,,,1650048,,,6509312,29984768,,,521076736,,,,995520,,,,,,,,,,119324672,52563968,,77750272,11916288,,,2867456,,3241472,9233408,,,,4017152,,9698304,,,,2312448,,,6548992,6548992,,,,693248,,2255104,,4378112,,,,28676096,,12008448,5080576,,156499968,9384960,468156416,,9861120,,,,735296,1134592,,,9123840,780800,,,82657280,,3540480,2092672,1856704,3394560,,27587584,,,,,,4632576,981860352,,780800,,,10977280,,,,,,,,19938304,,1091712,2352384,,,2207488,,,,,,2088448,,,380528,,605312,,3129600,,660288,362741760,,9854976,,11240448,3032320,6182400,1181312,,,9185280
"61","21A",5730560,627584,18760704,,35221504,,,,,,54673408,5227520,27205632,7126528,,,6640384,,,,,101715968,,,,,65138688,,17463296,,2511360,68284416,,,11230208,,,,,1912448,,,29543424,,,,76181504,,,,2506240,,,375856,,828288,1534848,,,,31823872,68706304,,27173888,8367616,,,4719872,17361920,,78725120,,,42233856,32240640,,5976320,,,,11244544,,18050048,7936256,,,4523776,1655104,,,2464256,,49414144,,25202688,,32155648,1940224,25047040,2349568,,237027328,58798080,,,24718336,,,,39895040,,,,,,,,47599616,,1463872,941184,,1692736,480480,,,,,,,4659712,1243021312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483296,1168448,,,,359366656,,8706048,,34734080,3374080,4685056,1564416,,,9672704
"62","24A",16325632,,21272576,11147264,,2542592,,,,,64909312,33313792,32752640,2759936,,,8001280,,,,15113216,32308224,,2871296,,,2401536,,45268992,,3252480,1589440,2644992,,5256704,5747200,,,,2374656,,,3734784,21821440,998528,,517505024,,,,1149632,2663168,,,113692672,,,,2577408,,88096768,113491968,,61956096,8840192,,,2103296,3481856,,99799040,,,186777600,,,12033024,,,1117312,6076672,,8634368,13570048,,3641344,814912,3367168,3558912,3763968,3845632,,108507136,,,,42717184,3123712,27012096,2652416,,483573760,86978560,3523840,,,,,,,1562880,,,18207744,,,,100139008,,6477056,1110656,,2258944,1101056,,,,,,,3542784,588251136,,,,,,1336000,,,860928,,,,,560896,,,,1258304,,,,,,,2149120,,,,,10010624,1096768,1476608,,,75591680,723840,63782912,,9570304,356944,5012992,,1527232,,9626624
"63","28A",,,17077248,,21337088,3885568,,,,738944,35463168,7058944,16084992,2136320,,,15685632,,2190080,,,16324608,,,,,71376896,,23956480,,,5767936,,,4281088,,2722560,,,3595264,,,5793792,16584704,,,249511936,,,,556352,,,,67203072,,,,,,73428992,2533632,,53362688,19741696,,2318592,2938880,3495168,2353920,3844352,,,204128256,9056256,,5678336,1035712,,1714432,,,,,18763776,,1209472,,,,,,27786240,,45043712,,12917760,8821760,7482624,3441664,,408649728,31920128,,,,,,,19224576,,,,9554944,884928,,,53575680,,2806016,1033856,,3377920,,28950528,,,,,,,1205796864,,,,,,1686976,852352,,,,,,2398208,,,495072,,,,,,,,,,,,,,673728,,,,,400474112,,8379392,,22467584,5977344,,,,,4816896
"64","30A",15516672,,43024384,,34283520,2066368,,,,,82210816,21172224,34762752,,,,32656384,,,,,71798784,,2047680,,,85696512,,39022592,,,3497216,,,3010048,4132352,,,,11625472,,,11762688,13326336,973440,,346161152,4105216,,,,,2573056,,297697280,,,,,,50884608,47513600,,32065536,32696320,,,2411776,,2496768,19218432,2295552,,210534400,4399872,,7606272,,,,3907584,,16156672,26338304,,2404608,,3353088,,773760,,1574144,12409856,,29201408,,7758336,7102720,6968832,1279360,,27731968,8145152,,,1802944,389024,,,1716544,,,,14038016,,,,67358720,,1740800,,,856832,441312,4839424,,,,,,2129408,873070592,,,,,,693632,,,,,,,,,,,,808384,,,,,,,,,,,,420064,,741568,,,202571776,,34099200,,29441024,,3783168,761280,2467584,,9529344
"65","32A",22829056,,18672640,,28237824,,877696,,,,46505984,29972480,21685248,1646400,,,8222208,,,,,19385344,,1561728,,,3655936,,143753216,,,,9672704,,,3192832,3888640,,5445120,18910208,,,11986944,28184576,,,393904128,,,,1264384,,2218240,686208,,,,,1976064,,125366272,104435712,,90005504,16515072,,,2774016,,,4651008,,,608829440,4606208,,8174848,,,,6674176,,878592,,805824,2365184,1651136,5692416,,,,,1746880,,3258624,,3681024,3663360,20788224,1709312,,2907392,,,,,,,,,,,3219968,44986368,,,,100552704,,3834624,1313152,,2352896,1233408,,,,,,1136320,4277504,2085552128,,,,,38842368,,,,2447104,,,,,,,3045376,1380352,657664,,,,,,,1436608,,,,,,,705280,,,956235776,,13980672,1365568,10708992,,2028736,,,,6468864
"66","34A",,376560,9439232,,40361984,,,,,,64229376,10827776,27631616,3284224,,,20213760,,,,,33796096,,,,,24901632,,22240256,,3298560,5608704,,,5990400,,2242048,,,13630464,,,9168896,11651072,,,213680128,,,,1040512,,,,27641856,,,,,,69058560,69185536,,43945984,8532992,,,2167552,,,3781120,,,123846656,7256576,,7798016,,,,5057792,1402240,3194368,3769344,,1673472,,2461696,,,963712,,,,11889664,,15068160,2698240,11518976,1673920,,5404416,5409792,,,930944,523904,,,3574016,,,,5900544,,,,84684800,,5321216,777792,,1424320,906240,,,,,,,2827264,1445265408,,,,,,1827584,,,1309120,,,,,,,439952,,,,,,,,,1988032,,,,,,,,,,241860608,1189632,8911872,795520,55787520,11182080,,673792,,,7670784
"67","36A",81436672,2860800,,24563712,,1807104,5285632,,4663808,,12229632,90091520,37285888,7770368,46751744,,44277760,,,15927296,,,24873984,32152576,2702336,,27019264,,174784512,,,2557184,,,11119616,65835008,,,47247360,4809216,,70328320,,138543104,2944768,,1356398592,,,6830336,,,,,,,,,250871808,16811008,531677184,,174571520,301989888,,8662016,,2529792,,,841344,,8566784,,15003648,,3057408,,,,3407616,,,1523392,1683520,,1411776,,2868224,793444352,,,,,7809280,,39391232,2786816,8062464,4152576,,208568320,3756800,5931264,4961280,,,3698176,,3238656,,,,54124544,,,,40435712,,3104256,,,3079424,1335168,,,,,,,1640000,1457520640,419512320,,,,2310400,1308544,,,,,,5316352,,,,327424,284832,,,,,,,1241344,,,,,,,,,,,812974080,,34926592,2115584,12449792,347472,3056896,1039616,6316544,,2186240
"68","38A",,,10435584,,310165504,,,,,,102432768,75927552,58236928,4666368,,,55500800,,752768,,,46395392,,1063616,,,10171392,,61366272,,,9442304,,,7695872,,,,,24194048,,,6071040,76546048,,,322568192,,,,849408,6675456,,327680,,473968,1368256,,,,217235456,113987584,,155615232,20901888,,1529600,2728192,,,13355008,,,,,,14555136,,,,8078848,4555008,,6663936,6909184,3682816,,,,,1499584,,,,3207680,,25011200,3362560,60256256,5949952,,26712064,16108544,36073472,,35708928,,,,19609600,2401024,,,3916288,,,,130220032,,7377152,3304960,,3687936,,,,,,,,8519680,2502688768,694288384,,,,,1403840,,,1932800,541760,,,3579392,,1783168,,,1290048,,,,,,,3088128,,,627648,,,,1733760,,,357777408,3693312,33402880,1674048,123953152,,2636288,,,,18174976
"69","40A",,,8897536,,34918400,,,,,,85475328,,37793792,4261376,,,16489472,,,,,38748160,,,,,58392576,,,,1255232,4899840,,,5811968,,,764800,,5595904,,,9556992,,,,6498048,2486016,,,,,741696,,33718272,,,,,,4282112,27085824,,3586816,10743808,,,3331072,,,3929088,,,,,,5530624,,,,1420160,,2467840,5349376,,,1519104,,1437888,,564608,,1480256,679232,26840064,,20619264,2833408,19383296,1733568,,6977536,3474176,,,,,,,,,,,1854272,,,,62750720,,1079104,,,2211072,1063360,,,,,,,853056,826343424,,,,,,511776,,,,,,,,,,,,,,,,,,,763456,,,,,,,561728,,,251871232,,,,49504256,2139392,,1480128,,,11524096
"70","42A",,,6323968,,16756736,,,,,,52211712,25269248,31979520,1709376,,,17218560,4516352,894208,,4731136,7053568,,,,,131280896,,25613312,,,7005696,,,2204160,,,,,13103104,,,4777984,59486208,,,244269056,,,,,,5169408,,9985024,,,,,,235634688,23377920,,161202176,93798400,,,3694080,7851264,,30142464,,,,11373568,1793856,10148864,1139200,,2753280,1725632,,,26140672,7580160,,1163648,1992384,,,1551808,738368,27318272,,29636608,,38117376,214712320,12255232,5105152,,127275008,30869504,422477824,,12777472,2238976,,,6877184,,,,6412288,993344,,,99016704,700608,31075328,1145472,,3713024,782528,78733312,,,,1393408,,3373568,2505310208,1107623936,,,,,4795648,3105280,,,,,,,579968,,,,,,,,,,,2288896,,,,,1622528,,1297024,,,472727552,,9172992,759296,37875712,26873856,,1780864,,,9648128
"71","46A",13451264,,6121216,,37335040,1453312,,,861184,,43724800,14333952,18783232,2352128,,,19899392,,,,6456064,5762048,3247616,1291328,,,5585920,,41504768,,2610176,6304000,,,3812096,2038720,2962432,,,64286720,,,8642560,35639296,1857728,,251609088,,,,,,,,,,1348672,,1737344,1356160,164052992,74747904,,104484864,95621120,,,3546368,,3859712,1412864,,,629080064,45789184,,6243328,,,,2720768,,3192064,2967040,,6170112,2992128,5795584,,2196992,,,589248,,,,12857344,46485504,18289664,5391104,3026688,3556864,34217984,,3885056,,,,,80850944,1039808,,,20454400,1839232,3284224,,61972480,,12678144,858368,,4480512,985472,34095104,1199232,1132416,,,,2324224,1406468096,856752128,,,,,2204160,,,3927296,,16208896,,,,,,,,,1205888,924032,,,,5300480,,,,,,,,,,990707712,,8807424,,19931136,2159616,3917312,,,,6741248
"72","48A",5683200,294688,9176064,,9670656,3718912,,,,,74305536,15582208,40980480,2845440,,,3023104,,,,,12946432,,,,,7957504,,36732928,311920,1284928,932928,,,3604224,1907776,1907776,,,1817088,,,6924032,32372736,,,322355200,,,,334400,,1576192,874624,95797248,,,,499264,,140623872,36265984,,94179328,9222144,,,2606080,2147840,,,,,235651072,16009216,,11166720,,,,,,32406528,9665536,,2220032,1265472,2226944,,793920,1403712,,12922880,,,,14905344,,33089536,2807552,,56385536,19813376,3767552,,,,,,11724800,973824,,,13037568,1323648,,,89071616,,8773632,741568,,2347264,806208,,,,,,,1866176,1442775040,632225792,,,615040,,2882048,,,,,,,10050560,,,822528,,,,,,,,,1447872,,748288,1021888,,715136,672768,1091328,,,1042874368,,8748032,592320,10263552,,,1334976,,,11377664
"73","50A",5753344,,10280960,,53506048,,,,551872,,40599552,33328128,17190912,7835648,,,16839680,,,,,12235776,,2598144,,,2111488,,30636032,,,2305792,3467520,,14377984,3738368,4492544,,,4253184,,,8275456,15713280,724544,,588578816,,,,,,,,49180672,,,,,,52281344,13702144,,32512000,11145216,,,2833408,5974784,,,,,184238080,,,3859712,,,1352896,,,,8699904,,,,2067584,,1487232,,,18505728,,,,26567680,,5585920,1333952,,51494912,20086784,,,892608,,,,7380736,,,,4030720,1192256,,,39055360,,1693824,579584,,1531520,565056,,,,,,,,47616000,,,,,,988352,,,,,,,,,,1232256,,,,,,,,,664128,,,,645056,852608,,,,,50094080,,8829952,,96665600,317216,3875840,,,,4778752
"74","52A",6020608,,5240576,,28319744,4826368,1923392,,,,24670208,147177472,43868160,3502080,,,25964544,,,,1492224,3262208,,6318080,,,1498432,,180240384,,,,,,1425920,,,,,22972416,,,2109440,127635456,7099392,,898957312,,,,1122176,,,329664,,,,,1459072,,423641088,137379840,,193085440,42229760,,,1945920,,9701376,,,,1255276544,9398272,,3354624,,,,5158656,,9963520,13130752,,3776512,,10932224,,1864960,,,8195072,,,,5366528,11374592,14571520,,5161472,51572736,21217280,743047168,,,,,,35500032,,,,226492416,,,,69738496,,2312448,637440,,2884864,3287552,120086528,,,,,,6457344,2120286208,739377152,,,,,3862528,,,1417088,,,,,,,,,1710656,,,,,,,1285376,634688,,,,8025088,1056000,1258624,,,750977024,,9631744,,26700800,5046272,3156224,,4080128,,3575808
"75","54A",58937344,,14274560,4777216,4088064,3208192,,,,,14243840,34861056,17096704,2578432,,,,,,,5383424,5275392,7016448,4280320,,3674368,,,88182784,,2022272,,3476480,,3257856,4717824,,,2732800,,,4367616,6634496,5869568,,,744947712,,,,295136,,3498240,484896,,,1895104,,4884992,,21940224,61280256,,15690752,4191744,,29894656,,,,,,,243400704,,,2374656,,,,,,,,,4243968,975808,22500352,,3191296,2360320,,,995840,,,6166528,,4587264,1913984,,2719744,742080,,,,,,,,,,,827326464,,,,33935360,,4596224,1843520,,1841664,657024,,,,,,,867456,18800640,,,,,14365696,,,,,,,,,,636096,2224896,,,,,,811520,,,1688320,,,,,,,506256,,,214548480,,32202752,,2091520,,3504896,,,,2450688
