"sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"108B",NA,NA,14092288,NA,63307776,NA,NA,NA,NA,NA,171687936,NA,85934080,1032064,NA,NA,19572736,NA,NA,NA,2288640,15809536,NA,NA,NA,NA,41164800,NA,12207104,504240,NA,1169920,1721856,NA,NA,NA,NA,590464,NA,7918336,NA,NA,2617088,3032320,NA,NA,13309952,NA,NA,NA,NA,NA,NA,696192,42393600,NA,NA,NA,NA,NA,22619136,79126528,NA,17136640,7787776,NA,NA,1358720,NA,NA,846592,NA,NA,28513280,3886080,NA,15590400,NA,NA,NA,1406784,NA,NA,NA,5401600,NA,NA,995200,NA,NA,NA,NA,1136704,NA,9163776,NA,12435456,2965760,24132608,1103680,NA,67858432,3925504,NA,NA,NA,651584,NA,NA,3014144,NA,NA,NA,756032,NA,NA,NA,146685952,NA,1567296,NA,NA,967424,NA,NA,NA,NA,NA,NA,NA,2384128,2394423296,NA,NA,NA,NA,NA,1709248,NA,NA,531456,NA,NA,NA,NA,NA,358544,NA,NA,NA,NA,NA,NA,NA,NA,NA,1535360,NA,NA,NA,NA,NA,NA,751808,NA,NA,220839936,NA,8887296,NA,50925568,746240,NA,NA,NA,NA,26748928
"110B",NA,NA,35852288,NA,31216640,NA,NA,NA,NA,NA,88612864,NA,37163008,NA,NA,NA,12734464,NA,784128,NA,NA,47521792,NA,NA,NA,NA,127549440,NA,NA,NA,NA,3104768,NA,NA,NA,NA,NA,NA,NA,4913664,NA,NA,7517952,NA,NA,NA,6581248,12699648,64598016,NA,515696,NA,NA,NA,NA,NA,NA,NA,NA,NA,6036736,29703168,NA,5404160,6661376,NA,NA,1398208,NA,NA,2294272,NA,NA,4614144,NA,NA,6192384,NA,NA,NA,NA,NA,NA,NA,676032,NA,NA,3059712,NA,NA,NA,NA,889088,NA,55009280,NA,3994112,1759936,7548416,1371072,NA,13789184,2238464,NA,NA,992960,NA,NA,NA,2126592,NA,NA,NA,NA,NA,NA,NA,61325312,NA,1051200,NA,NA,597952,515008,NA,NA,NA,NA,NA,NA,NA,1057947648,NA,NA,NA,NA,NA,1130112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480768,NA,NA,NA,NA,NA,NA,NA,NA,NA,80019456,NA,8122624,NA,17430528,13916160,NA,NA,NA,NA,10896384
"112B",49799168,713216,3827200,22009856,NA,NA,1004160,NA,NA,NA,8707072,20210688,10745856,3032064,15370240,NA,10116096,11510784,NA,6477312,3485184,NA,8506368,4148224,NA,NA,28922880,NA,65150976,NA,NA,NA,NA,771904,4089344,10185728,NA,NA,3260160,3339264,NA,9513984,3932672,29150208,1618432,NA,670236672,NA,NA,NA,NA,NA,2725632,NA,4460544,NA,NA,NA,14842880,2616320,124338176,8167424,NA,81567744,6164736,3251200,NA,2257152,NA,NA,NA,NA,NA,NA,4062720,860032,2156032,NA,NA,NA,821952,NA,715328,2816512,2816512,1907648,NA,6446848,NA,23538688,NA,NA,3846912,NA,29799424,NA,11471872,3047680,5710336,2214656,NA,32791552,35946496,47308800,1550592,NA,NA,NA,NA,1800000,NA,NA,NA,43749376,1680512,NA,NA,33636352,NA,11001856,454816,2110720,2374912,NA,NA,NA,NA,NA,NA,NA,765056,1133903872,NA,NA,NA,8949760,NA,1133888,NA,NA,1332288,NA,NA,NA,82214912,NA,NA,1070592,NA,NA,NA,NA,NA,NA,NA,NA,4002816,NA,NA,NA,NA,NA,NA,2036928,NA,NA,751894528,NA,63074304,1807936,16246784,NA,NA,NA,1838656,NA,1131392
"114B",6433792,NA,5997056,NA,9240576,NA,NA,NA,NA,NA,117235712,6840832,58630144,4049664,NA,NA,4499456,NA,NA,NA,NA,18542592,NA,NA,NA,NA,11383808,NA,22755328,NA,NA,5555968,NA,NA,6705152,NA,2916352,NA,NA,2183680,NA,NA,18537472,6064128,NA,NA,144441344,NA,NA,NA,NA,NA,NA,NA,NA,499296,1521216,NA,NA,NA,13853696,20982784,NA,9888768,4710912,NA,NA,2225664,2103808,NA,18152448,NA,NA,39129088,5338624,NA,10428416,NA,NA,NA,NA,NA,NA,9609216,38019072,NA,1107648,1019392,NA,NA,1201600,NA,18111488,NA,NA,NA,33714176,NA,22281216,1769536,NA,71970816,26915840,NA,NA,1182400,NA,NA,NA,568448,NA,NA,NA,157057024,NA,NA,NA,92925952,NA,684224,3399424,NA,1014400,533312,NA,NA,NA,NA,NA,NA,1319936,695205888,NA,NA,NA,NA,NA,476416,NA,NA,NA,NA,NA,NA,NA,NA,NA,2287616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366395392,NA,15332352,NA,18847744,940928,11265024,NA,NA,NA,15995904
"116B",NA,477792,4623360,NA,61394944,NA,NA,NA,NA,NA,66809856,7155200,30868480,NA,NA,NA,22239232,NA,NA,NA,3638784,NA,NA,NA,NA,NA,6101760,NA,22126592,NA,1691904,11730944,NA,NA,1164032,NA,1404672,NA,NA,16004096,NA,NA,6167296,31828992,NA,NA,253493248,NA,NA,NA,NA,2380288,NA,NA,17918976,NA,NA,NA,NA,NA,184320000,31393792,NA,111198208,43896832,NA,NA,4021504,NA,NA,NA,NA,NA,249675776,NA,NA,14395392,NA,NA,1181504,2635264,NA,NA,NA,10145792,3277056,3323136,1399744,NA,NA,NA,NA,12685312,NA,NA,NA,41160704,10762240,15533056,2262784,NA,60731392,9743360,NA,NA,NA,NA,NA,NA,3337216,1346496,NA,NA,2014848,NA,NA,NA,113709056,NA,2909184,507360,NA,2099456,NA,13023232,NA,NA,NA,NA,NA,5139712,2536767488,NA,NA,NA,NA,NA,1649024,NA,357504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2261248,NA,NA,NA,NA,NA,1952000,NA,NA,565952,NA,1263744,NA,5966592,NA,NA,131211264,NA,9203712,NA,191856640,831296,NA,1165632,NA,NA,15308800
"118B",NA,NA,36397056,NA,24184832,1934016,NA,NA,NA,NA,168181760,NA,96014336,NA,NA,NA,8602624,NA,NA,NA,NA,61280256,NA,NA,NA,NA,7877888,1520768,NA,NA,1162560,2873344,4283136,NA,NA,NA,3570944,672128,NA,2522112,NA,NA,6281984,NA,NA,NA,10767360,8731648,NA,NA,NA,NA,NA,NA,44134400,NA,NA,NA,NA,NA,4530432,35966976,NA,3753728,13187072,NA,1557504,3395584,1189312,NA,41336832,NA,NA,6286592,NA,NA,11862016,NA,NA,NA,NA,NA,3363840,24006656,NA,1147136,1467520,NA,NA,NA,NA,NA,8148224,NA,NA,NA,5176576,NA,29802496,1087488,NA,113664000,19663872,NA,NA,897280,NA,NA,NA,4628736,NA,NA,NA,1851648,NA,NA,NA,92663808,NA,3857664,2002560,NA,1356416,NA,NA,NA,NA,NA,NA,NA,NA,783745024,211042304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14269440,NA,NA,654144,NA,NA,1412800,NA,NA,NA,NA,NA,NA,NA,NA,NA,97452032,NA,9125888,NA,25607168,15404032,6313984,NA,NA,NA,27069440
"122B",5739520,NA,8404992,NA,33570816,3548160,NA,NA,NA,NA,50978816,NA,19336192,1433920,NA,NA,2888704,NA,NA,NA,3045632,7499264,NA,NA,NA,NA,7782912,NA,16075776,NA,5361152,2386176,4800000,NA,3388160,NA,NA,NA,615872,1756352,NA,NA,4909312,6537216,NA,NA,64606208,NA,NA,NA,NA,NA,NA,NA,206749696,NA,NA,NA,879296,NA,34607104,23115776,NA,27485184,3873024,NA,NA,1750848,4738816,NA,NA,NA,NA,37285888,22482944,NA,NA,NA,NA,1063680,NA,NA,NA,25866240,NA,NA,2461184,1122240,NA,NA,1378816,NA,56217600,NA,NA,NA,22071296,NA,13131776,1002816,NA,204783616,40706048,NA,NA,1091584,NA,NA,NA,12382208,NA,NA,NA,8302592,NA,NA,NA,44576768,NA,1470080,1370880,NA,775744,NA,NA,NA,NA,NA,NA,NA,547072,456753152,NA,NA,NA,NA,NA,NA,NA,NA,NA,861568,NA,NA,NA,NA,374576,1410112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390096,332775424,339664,8605696,NA,29700096,21919744,NA,1029312,NA,NA,6738432
"126B",NA,NA,17570816,NA,11593728,NA,NA,NA,NA,NA,72024064,7338496,35274752,7399424,NA,NA,12436480,NA,NA,NA,NA,73134080,NA,NA,NA,NA,4086016,NA,24559616,NA,3085056,2811392,2133248,NA,9358336,NA,3055616,NA,NA,3208704,NA,NA,7551744,11317248,NA,NA,223232000,NA,NA,NA,NA,NA,NA,NA,1474176,NA,NA,NA,NA,NA,42934272,33910784,NA,31034368,14980096,NA,NA,3988480,7736832,2133248,88006656,NA,NA,152944640,NA,NA,8328448,NA,NA,NA,4358144,NA,NA,41447424,NA,3031296,3605248,1846080,865536,NA,1806592,NA,88006656,NA,NA,NA,18356224,5852416,16634880,4780544,NA,677707776,79564800,NA,NA,26711040,NA,NA,NA,17548288,NA,NA,NA,111489024,NA,NA,NA,93949952,NA,3979520,3468032,NA,2880000,NA,10177536,NA,NA,NA,NA,NA,3819008,564592640,NA,NA,NA,NA,NA,1059008,NA,890112,764288,1015104,NA,NA,NA,NA,223280,1023872,NA,NA,NA,NA,NA,NA,NA,NA,922880,NA,NA,1152256,NA,619776,NA,768576,NA,NA,288063488,NA,9749504,NA,10860544,NA,2145536,NA,NA,NA,11229184
"128B",215646208,376976,9355264,75198464,NA,NA,2096640,NA,2313984,NA,9302016,71155712,NA,6246912,28248064,NA,17122304,NA,NA,59396096,NA,NA,107487232,8780800,5268736,7997184,NA,NA,201228288,NA,NA,2796288,9304064,NA,8796160,118697984,NA,NA,131186688,NA,NA,85278720,NA,89239552,2109440,4043008,919732224,NA,NA,4078592,NA,NA,5556736,NA,NA,NA,NA,NA,226689024,NA,287686656,NA,105349120,155107328,NA,5910016,NA,2071168,3662592,NA,NA,NA,4545792,120315904,5444864,4647424,1648448,NA,NA,NA,NA,NA,NA,5583872,NA,4044544,NA,14143488,NA,121159680,NA,NA,17241088,NA,NA,NA,31791104,2987776,3926528,1173440,NA,41865216,13607936,NA,978816,NA,NA,911616,NA,1302400,NA,NA,NA,18637824,NA,NA,NA,15969280,NA,1862720,595904,NA,892608,NA,NA,NA,NA,NA,NA,896448,NA,124715008,NA,NA,NA,NA,860032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e+05,NA,NA,NA,NA,NA,NA,144048128,NA,130621440,4076288,4922112,NA,4013568,NA,2976768,NA,925632
"132B",NA,NA,7088128,NA,30429184,9980928,NA,NA,NA,NA,43962368,NA,21283840,739584,NA,NA,16002048,NA,NA,NA,1584704,4549888,NA,679424,NA,NA,6213376,NA,13664256,NA,1821888,3213056,5092096,NA,NA,NA,2335744,NA,NA,5633792,NA,NA,3034880,NA,NA,NA,45056000,NA,NA,NA,1035776,NA,2026880,609216,NA,NA,NA,NA,NA,NA,5232384,34922496,NA,NA,21213184,NA,NA,1788672,NA,NA,65089536,NA,NA,36720640,NA,NA,4592128,NA,NA,NA,NA,6471680,5885952,105877504,NA,NA,NA,2990592,832576,NA,931328,NA,NA,NA,NA,NA,7214848,20279296,16650240,NA,NA,1717056,228245504,NA,NA,1478656,NA,NA,NA,8627200,NA,NA,NA,10455040,777088,NA,NA,43954176,NA,8230912,1278208,NA,1264704,1084032,3122944,NA,NA,NA,NA,781184,NA,987430912,NA,NA,NA,NA,NA,1756416,NA,NA,NA,NA,NA,NA,NA,NA,438048,2016448,NA,NA,NA,NA,NA,NA,NA,NA,1280896,NA,NA,NA,NA,5976320,NA,NA,NA,NA,392888320,NA,9382912,NA,27510784,3824384,6862592,769088,NA,NA,5732864
"134B",NA,NA,15246336,NA,17326080,3252480,NA,NA,NA,NA,158466048,NA,89186304,3237120,NA,NA,2443008,NA,NA,NA,4494336,32187392,NA,NA,NA,NA,3871232,NA,12711936,NA,NA,9581568,7631872,NA,3756288,NA,3759104,NA,NA,1460096,NA,NA,3743488,2116864,NA,NA,15742976,1916736,NA,NA,NA,NA,NA,530688,17008640,NA,NA,NA,NA,NA,5489920,62197760,NA,6387968,3584768,NA,NA,2731520,NA,NA,NA,NA,NA,4519680,3704320,NA,9841664,NA,NA,NA,645504,NA,2059904,16836608,3345664,NA,NA,2497536,NA,NA,NA,NA,5857536,NA,NA,NA,8236800,749632,15719424,8920064,NA,17395712,8244736,NA,NA,NA,NA,NA,NA,3890944,NA,NA,NA,13833216,NA,NA,NA,52080640,NA,2299904,932992,NA,1317952,NA,NA,NA,NA,NA,NA,NA,892224,553451520,NA,NA,NA,NA,NA,734016,NA,NA,NA,NA,NA,NA,NA,NA,322352,NA,NA,NA,NA,NA,NA,NA,NA,NA,559296,NA,NA,NA,NA,484048,NA,NA,NA,NA,93605888,NA,9560064,NA,8283392,1131072,NA,NA,NA,NA,20871168
"136B",NA,NA,5893120,NA,11445248,NA,NA,NA,NA,NA,50335744,7077888,22224896,NA,NA,NA,6606848,NA,1139776,NA,NA,9844736,NA,NA,NA,NA,122740736,NA,21258240,NA,1651456,483440,2699520,679936,NA,NA,2277632,NA,NA,2484480,NA,NA,4892160,8785920,NA,NA,181665792,NA,NA,NA,NA,NA,NA,NA,1889536,NA,NA,NA,NA,NA,40960000,6554368,NA,26990592,10668032,NA,NA,2007168,NA,NA,NA,NA,NA,126504960,24229888,NA,6359040,NA,NA,NA,NA,NA,NA,79302656,NA,NA,5092864,NA,NA,NA,974720,NA,102137856,NA,68136960,NA,6457600,NA,8628224,1604992,NA,246775808,114462720,96567296,NA,2654976,NA,NA,NA,118624256,NA,NA,NA,12616704,666368,NA,NA,62271488,NA,1465472,956992,NA,1583872,619520,3105792,NA,NA,NA,NA,NA,610048,879493120,NA,NA,NA,NA,NA,1471296,NA,NA,NA,2047104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,893824,NA,NA,NA,NA,8636416,NA,993728,NA,NA,599785472,NA,7920896,NA,15945728,4061440,2954240,NA,NA,NA,6756864
"138B",5837824,NA,13126656,NA,21139456,NA,NA,NA,NA,NA,105840640,NA,48680960,1738112,NA,NA,12444672,NA,NA,NA,NA,36724736,NA,NA,NA,NA,35434496,NA,12429312,NA,NA,8150016,2307072,NA,2749184,NA,4120064,NA,NA,3110656,NA,NA,12520448,3930624,NA,NA,58302464,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526528,NA,203344,NA,11921408,8116224,NA,10099712,8406016,NA,NA,1523456,NA,NA,9022464,NA,NA,12137472,NA,NA,8017408,NA,NA,NA,NA,NA,2389248,17266688,NA,NA,NA,NA,696384,NA,NA,NA,4262400,NA,NA,NA,12036096,1635840,13300736,905536,NA,15893504,61353984,5667584,NA,988032,NA,NA,NA,16438272,NA,NA,NA,2636288,NA,NA,NA,87494656,NA,878976,482800,NA,433664,NA,NA,NA,NA,NA,NA,NA,562944,428048384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3670016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132136960,NA,31895552,NA,23614464,13917184,NA,NA,NA,NA,14017536
"146B",5566464,NA,6824448,NA,27098112,NA,NA,NA,975552,NA,174505984,NA,106942464,1498688,NA,NA,3886848,NA,NA,NA,NA,17209344,NA,NA,NA,NA,10593280,2303232,NA,NA,2089024,8960000,NA,NA,NA,NA,2685952,NA,NA,2468352,NA,NA,3661312,NA,NA,NA,8954880,4046336,NA,NA,NA,NA,NA,NA,17934336,NA,3556352,NA,NA,NA,6929920,5322752,NA,5728512,4367872,NA,NA,1434496,8097792,NA,NA,NA,NA,5153024,NA,NA,11944960,2646528,NA,5767680,922688,NA,167641088,33857536,NA,NA,3081216,1437312,NA,NA,NA,NA,82993152,NA,NA,NA,9039872,973312,18825216,1147456,NA,285474816,35217408,NA,NA,3270400,NA,NA,NA,23621632,NA,NA,NA,10644480,NA,NA,NA,111677440,NA,1526080,3683840,NA,794176,NA,NA,NA,NA,NA,1302784,NA,634688,1284833280,NA,NA,NA,NA,NA,NA,NA,NA,361920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941632,NA,NA,318096,NA,3057152,1710912,607552,NA,NA,333955072,NA,8630272,NA,25578496,906880,2236160,NA,NA,NA,32944128
"152B",NA,NA,5864448,NA,30892032,2291200,NA,NA,1395072,NA,25413632,12268544,10796032,NA,NA,NA,32304128,NA,NA,NA,NA,4593920,NA,NA,NA,NA,75280384,NA,23045120,NA,1275072,10103808,NA,NA,NA,NA,NA,719360,NA,18504704,NA,NA,2781952,21586944,664000,NA,216875008,NA,NA,NA,1415104,NA,1800320,NA,16226304,NA,NA,NA,NA,235808,93458432,56967168,NA,73658368,95014912,NA,NA,2151936,NA,3589888,55590912,NA,NA,NA,NA,NA,3745536,1615232,NA,2006720,18172928,NA,4790272,21172224,NA,NA,2779648,NA,6622976,583808,NA,1455616,94490624,NA,38981632,NA,10984448,57974784,NA,NA,NA,1431240704,52670464,591527936,NA,NA,NA,NA,NA,11009024,1300992,NA,NA,13249536,NA,NA,1142656,46923776,NA,45506560,1445120,1717504,3665152,1404416,161382400,NA,NA,504048,NA,NA,30420992,1402994688,NA,1384768,NA,962176,NA,3306240,NA,NA,1299200,NA,NA,1742208,45461504,NA,NA,1182912,NA,1412800,1453184,NA,NA,447136,NA,NA,5281280,NA,5552384,NA,NA,5363456,336800,3321600,NA,NA,514637824,682240,7962880,NA,34324480,NA,2451712,NA,NA,NA,3719168
"166B",5488896,NA,5165056,NA,15456256,662528,NA,NA,456544,NA,56696832,8051968,28654592,1199104,NA,NA,7329536,NA,NA,NA,6465280,4870656,NA,NA,NA,NA,42713088,NA,22660096,NA,8217344,5595136,NA,NA,NA,1350080,NA,NA,NA,2249728,NA,NA,25516032,28081152,NA,NA,199491584,NA,NA,NA,2188032,886080,NA,708352,14557184,NA,NA,NA,NA,NA,149864448,9469952,NA,90009600,NA,NA,NA,5108992,5931264,NA,102227968,NA,NA,188727296,NA,NA,13719552,905088,NA,3132672,1568000,NA,NA,NA,13603840,NA,10574848,1091840,NA,NA,NA,NA,4793856,1761664,NA,NA,36458496,2795776,11336704,10927104,NA,32774144,8815616,NA,NA,9705472,1650304,NA,NA,NA,1130688,NA,NA,NA,NA,NA,NA,80433152,NA,3320320,892480,NA,5270016,370224,6108672,NA,NA,NA,NA,NA,3549184,1474232320,620036096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640448,NA,NA,NA,NA,632384,NA,NA,NA,NA,NA,1319424,NA,NA,NA,NA,NA,NA,1425408,NA,NA,128077824,NA,8412160,NA,16806912,784128,2112768,NA,NA,NA,9867264
"11C",5801216,492944,10390528,NA,28253184,2251008,NA,NA,2335488,NA,54116352,13644800,26152960,1990784,NA,NA,6851072,NA,183104,NA,NA,16508928,NA,NA,NA,NA,104374272,NA,28814336,NA,NA,8385024,NA,NA,3417856,1259264,3594240,NA,NA,7298304,NA,NA,4763648,27618304,NA,NA,251232256,3194368,NA,474880,713664,NA,1982336,343072,53997568,NA,NA,NA,1328064,NA,125759488,46915584,NA,91013120,9607168,NA,NA,2342400,2479104,NA,21039104,NA,NA,202948608,NA,1295488,8272128,NA,NA,NA,4912640,NA,NA,NA,14357504,1830272,923840,NA,NA,2093824,NA,NA,20672512,NA,20602880,NA,26586112,1834176,14339072,3409408,NA,100859904,15851520,NA,NA,5050624,NA,NA,NA,9182208,NA,NA,NA,9866240,NA,NA,NA,84074496,NA,1701184,5175808,NA,1309760,1519488,NA,NA,NA,NA,NA,NA,7873792,2215116800,1053163520,NA,NA,NA,NA,2258944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3543040,NA,NA,1201024,NA,NA,1044224,NA,NA,NA,NA,711040,NA,3709440,NA,NA,930676736,NA,8823808,615872,35155968,2485504,2991616,981760,NA,NA,7645696
"19C",10159104,592128,9469952,NA,19128320,NA,NA,NA,958464,NA,28517376,15264768,12704768,4730368,NA,NA,4539648,NA,NA,NA,NA,13703168,5809664,NA,NA,NA,6771456,NA,46309376,NA,2900736,32154624,NA,NA,5093888,2264832,NA,NA,3286528,NA,NA,8525824,10334208,36950016,NA,NA,418037760,NA,NA,NA,1056000,NA,NA,NA,NA,NA,NA,NA,7572224,NA,145178624,5945856,NA,97546240,4724480,4100352,1707200,2269952,NA,NA,21867520,NA,NA,203702272,10333184,NA,4719872,NA,NA,NA,1117952,NA,17047552,10643456,NA,1514432,5037056,2567680,NA,10339328,NA,NA,932224,NA,NA,NA,8787968,NA,5617664,1650688,NA,437714944,26863616,NA,767104,NA,400144,NA,NA,52101120,NA,NA,NA,28706816,NA,NA,NA,36360192,NA,753984,1450496,NA,1171648,NA,NA,NA,NA,NA,NA,NA,1234176,972029952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000832,677248,NA,NA,199294976,NA,7762432,650880,25490432,NA,1905280,NA,NA,NA,4290560
