"","stearic acid","elaidic acid","myristic acid","cholesterol","oleic acid","lauric acid","palmitic acid","putrescine","fucose","tyramine","hexuronic acid1","sulfuric acid","urea","leucine","valine","alanine","arachidonic acid","1-monoolein","linoleic acid","aspartic acid","gluconic acid","1-monopalmitin","glucose","isoleucine","succinic acid","lysine","proline","2-monopalmitin","phenylalanine","tyrosine","cellobiose","glycine","glycerol-3-galactoside","histidine","arachidic acid","tocopherol alpha-","mannose","hydroxylamine","pentadecanoic acid","heptadecanoic acid","citric acid","ornithine","serine","tryptophan","mannitol","threonine","4-aminobutyric acid","monomyristin","lyxitol","uric acid","phenylethylamine","ethanolamine","behenic acid","docosahexaenoic acid","5-aminovaleric acid","isohexonic acid","lactobionic acid","ribonic acid","N-acetyl-D-galactosamine","trehalose","trans-4-hydroxyproline","saccharic acid","2-monoolein","lactic acid","hexadecylglycerol NIST","beta-gentiobiose","syringic acid","isoheptadecanoic acid NIST","zymosterol","N-acetyl-D-mannosamine","creatinine","gluconic acid lactone","1-monostearin","N-methylalanine","ribose","butyrolactam NIST","caffeine","methionine","cystine","xylose","levoglucosan","butane-2,3-diol NIST","alloxanoic acid NIST","2-hydroxybutanoic acid","maltose","raffinose","nonadecanoic acid","pseudo uridine","methionine sulfoxide","xylonic acid","capric acid","tocopherol gamma-","uracil","UDP-glucuronic acid","thymine","erythritol","alanine-alanine","isothreitol","glyceric acid","malic acid","tagatose","tyrosol","xanthine","N-acetylaspartic acid","lignoceric acid","squalene","2-hydroxyhexanoic acid","dihydroxyacetone","galactinol","dihydrocholesterol","xylulose NIST","fumaric acid","methyl O-D-galactopyranoside","2-hydroxyglutaric acid","N-acetylputrescine","4-hydroxyphenylacetic acid","isothreonic acid","cysteine","pyruvic acid","6-hydroxynicotinic acid","asparagine","galacturonic acid","acetophenone NIST","hexitol","taurine","threonic acid","indole-3-lactate","thymidine","nicotinic acid","lyxose","glutamine","lactitol","xylitol","benzoic acid","2-hydroxyvaleric acid","n-acetylglutamate","1,2-anhydro-myo-inositol NIST","3-hydroxybutyric acid","3-phenyllactic acid","palatinitol","phytol","delta-tocopherol NIST","glycolic acid","sebacic acid, di(2-octyl) ester NIST","beta-mannosylglycerate","3-hydroxypropionic acid","xylonolactone NIST","propane-1,3-diol NIST","glycerol-alpha-phosphate","hydroxycarbamate NIST","inosine","homocystine","epsilon-caprolactam","maltotriose","2-ketoisocaproic acid","methyltetrahydrophenanthrenone1 NIST","indole-3-acetate","2-deoxytetronic acid","stigmasterol","2-deoxytetronic acid NIST","parabanic acid NIST","1-monoheptadecanoyl glyceride NIST","alpha-ketoglutarate","maleimide","5-hydroxymethyl-2-furoic acid NIST","isocitric acid","pipecolinic acid","cholic acid","phenylacetic acid","nicotinamide","adenine","fructose","2-deoxypentitol NIST","N-acetylornithine","n-acetyl-d-hexosamine","urocanic acid","orotic acid","pyrophosphate","aconitic acid","digalacturonic acid","4-hydroxybenzoate","shikimic acid","phenol","oxalic acid","7-methylguanine NIST","chenodeoxycholic acid","inositol-4-monophosphate","adipic acid","cerotinic aci","aminomalonate","adenosine","O-acetylserine","4-hydroxymandelic acid","uridine","conduritol-beta-epoxide","allantoic acid","2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST","xanthosine","dodecanol","tocopherol beta NIST","beta-alanine","guanosine","hexaric acid","2-picolinic acid","3-hydroxy-3-methylglutaric acid","phosphoethanolamine","5,6-dihydrouracil","3,4-dihydroxyphenylacetic acid","2,3-dihydroxybutanoic acid NIST","homoserine","pyrrole-2-carboxylic acid","adenosine-5-monophosphate","4-pyridoxic acid","erythrose","azelaic acid","citramalic acid","cytosin","3-aminoisobutyric acid","glutaric acid","maleic acid","tartaric acid","erythronic acid lactone","malonic acid","glucose-6-phosphate"
"WANDRO_48",4128768,2278075,416159,3112858,350111,85495,732530,40731,5866035,127999,2290780,2909557,620567,127341,447034,1394307,118372,75045,82812,1173346,2694419,9767,694133,339977,201694,140936,95494,3154,605649,322166,288508,1142578,162596,6479,75818,10988,30449,412714,35675,103967,24119,146129,297518,34594,308254,705941,1611,1510,46176,437866,2115,232590,97382,20153,686,157548,123117,20318,16447,10391,313537,134315,18797,429203,23452,42874,227325,8711,31129,661,129749,158649,12461,4846,25401,1829,121974,38815,40428,55013,25690,4680,2521,122089,2952,143295,39563,52778,45372,19125,1641,1585,12461,60390,9551,33373,6366,17864,20052,27194,3988,74653,860,62242,6047,7165,26665,27583,29617,5714,11590,56029,8983,1386,59326,13217,20435,6689,3938,1893,3630,16777,3176,5100,669,27032,739,44456,3095,19847,725,518,7565,6971,8243,23337,13201,10537,3496,11114,1372,2160,6739,10428,9456,1529,4795,2540,26337,2692,1216,2832,6896,20805,10215,6218,776,3899,1126,11083,3498,1022,3078,1675,7534,2910,877,3190,1218,2647,2202,952,2588,532,2812,9386,1779,2770,2042,4745,7100,2294,7378,2202,2801,2773,448,2294,2098,1322,4764,325,4986,653,1350,829,2112,3313,1585,902,1031,291,2941,2143,1347,204,260,1566,2801,305,356,1118,871,720,739,569,1129,202,412,308,1098,815,728,1028
"WANDRO_49",8705503,7176915,2407174,2749220,2173175,490857,2253654,246895,4285,655988,5801,30201,8414,2489976,2148747,704742,674219,83220,1109374,48141,445,6776,10245,1071647,286891,139362,285871,3475,335578,67341,38434,165030,4469,47985,121207,169341,2305,168898,75643,98516,2951,184650,15469,405550,4496,31278,5547,2160,12448,62141,7388,41212,104465,18033,10099,269,66789,2125,802,1117,6218,269,21713,7844,41941,78515,31112,20545,65943,400,43606,202,4316,29431,33047,3904,25859,104116,220559,19610,3500,823,7205,54914,7202,8170,17863,23101,13328,28923,24095,16296,49756,485,18131,10325,4031,9453,13629,8693,1548,5949,13710,2372,13684,12356,54922,3501,6123,5388,2450,9500,4992,1605,188,38890,3396,16941,7285,1367,920,644,4086,1255,1982,3245,23340,5049,6314,1307,1951,443,524,5247,21991,7979,884,4807,14126,6265,4557,3953,6338,5200,1265,14261,773,4472,654,8584,3290,3432,710,325,1650,1873,37687,1174,2987,743,1537,248,4054,2849,311,174,823,1641,7062,812,607,297,1693,2389,640,3828,657,1163,222,590,1411,947,1078,517,853,1100,2776,867,1262,1252,1312,512,1477,482,443,265,729,324,742,740,859,1031,1408,462,311,291,155,523,149,1255,601,396,103,739,473,308,618,637,1171,453,197,172,346,767
"WANDRO_50",8236887,4624634,583067,2108587,644619,123375,1418641,80186,1005617,303136,112887,27437,863516,2178140,1376307,1648721,577693,38893,486299,462824,3894,8338,173711,622606,129877,1367092,483257,2798,752462,144718,12527,847665,3447,247268,84251,2366,9026,167046,40118,143205,9769,1036396,250272,1842216,53491,961348,11806,1700,30404,468741,3216,330524,77167,34186,10780,2577,13368,4513,180737,925,38605,2249,6694,25489,91052,3036,29212,16188,179087,71165,64736,6035,9064,3910,103176,2284,17331,56182,105328,74223,10371,7451,5295,49119,837,179,29014,69618,24996,4257,3039,1145,44146,11323,29419,36708,18085,84103,5113,255951,3484,1318,144253,7125,17111,3983,5358,10390,4291,6703,9001,130656,3174,1313,8462,29309,30717,34491,19058,160,2411,3632,2722,4486,7651,8879,3091,2155,2443,1796,3403,277,15225,5175,1637,5636,2756,4477,1645,2371,1419,896,4965,5648,781,4703,1681,293,1131,6993,428,1108,5453,416,1575,3351,782,3691,1378,6941,5800,281,24404,1850,11300,256,3593,2849,582,678,2286,7259,3039,1748,7703,16370,2657,1034,438,511,6383,1423,1509,1208,3928,1439,2742,791,2204,3082,326,164,2200,268,178,2010,834,365,941,269,524,112,908,403,1185,295,871,507,427,481,704,689,417,227,303,199,310,119,412,541,219,1166,250,72
"WANDRO_51",1108580,1362835,2055759,1022811,349124,439661,598103,156819,72960,480186,51298,384,23872,3028675,2291417,4137622,914054,66439,227260,1805606,8979,47583,39640,2360872,75811,1096227,2120228,11458,1931122,2337600,1773,582868,4653,259621,55552,2931,7812,18431,62470,67529,593,1819852,1152537,290436,80482,1247344,53400,6604,9599,85986,2420,693491,45754,72006,26272,518,560,1754,36563,927,26027,518,9603,75085,61147,811,45354,17836,9932,39837,149839,1525,16071,10117,12883,3479,11690,257410,41815,36870,2828,4313,4669,8054,181,48,6896,36468,109312,1808,5630,659,253850,969,346245,7410,10251,3071,6561,315330,1198,5580,252719,4751,5490,3090,2261,592,781,38553,1895,102306,8096,753,816,7001,11183,33861,3362,220,39307,2325,2595,4687,81205,3445,2076,39668,5916,1129,54744,124,9987,2186,704,19462,769,2274,1051,294,1283,472,3292,1339,235,813,1271,413,2607,3063,602,530,761,44,4970,1480,1082,597,343,4064,4966,341,9142,3082,5604,50,2465,329,699,286,902,1035,1197,24378,11796,1847,6304,1188,146,148,15059,2282,993,343,504,337,310,619,499,30718,375,616,7410,454,129,1337,406,1025,482,88,768,135,3313,310,192,212,1169,620,279,559,1261,137,513,103,266,80,2314,21,584,2436,86,1402,64,35
"WANDRO_52",1253906,175862,48276,4384228,22625,33181,148353,63444,17175,558138,288292,27556,1320972,6490616,4587225,517737,39322,8954,11040,1255392,621319,4698,171779,2274302,357535,624207,16739,13347,1479297,2121401,4787,322986,2302,338040,25242,6211,1735,98060,14492,22055,43537,656443,273690,723583,21630,598254,3529,331,465351,261677,2142,187458,37124,3252,70701,95615,2307,4860,58078,1381927,19466,81123,4239,11848,16420,2586,227926,3552,5668,32231,430353,44380,9325,39703,102687,7879,26541,345490,88813,64631,577,1569,264,19532,671103,708,5052,71803,126092,4810,4933,5211,274512,8774,377884,26912,18307,18005,52146,145642,4137,1162,352237,5900,3776,2539,10317,23592,10739,10163,4453,84508,1670,6470,1495,9324,22121,13955,22439,203,31038,11144,2545,10530,84990,16351,71082,60798,20558,20672,7281,112489,12268,63498,15377,15006,1461,12477,32066,1417,1508,1378,22408,6984,1574,22707,7571,389,13156,12662,4155,895,9810,326,73141,3296,9894,5804,6879,15825,19010,251,25195,4603,9988,2571,6070,3096,14589,867,1576,7287,3453,890,2461,7274,1881,2031,730,506,79447,3155,2135,11864,4215,1326,827,1487,588,5433,2733,811,31746,1292,334,3698,1506,11601,7162,483,8964,1203,5155,1211,1560,2675,1568,280,4974,4085,610,1436,1089,259,1310,285,405,107,6673,342,819,775,668,336
"WANDRO_53",602588,2556411,2405357,696115,1268113,1705836,475623,1482555,808919,4579403,9919,4205,155086,838063,932254,1307420,522572,1740235,404136,10458,325,1424606,159156,358003,1214661,2165381,994356,954862,139555,5906,52483,79501,20407,612700,328860,373914,211621,41136,412505,326211,2951732,94768,15835,137185,82202,47509,1027410,275450,481,23072,262916,107892,179170,164711,2533,750,1413,34871,6161,7571,132860,750,170106,22127,34531,10479,2774,131522,31901,1328,15473,1174,90282,112494,7173,58944,18930,71261,10127,11366,4403,103576,33588,22142,1113,1152,43328,2024,21784,18865,11865,15538,13777,2321,10158,10180,71786,23563,10333,12995,4753,2491,7906,17706,29770,15398,62766,2317,4835,1139,2597,8078,4761,22313,8061,21140,9214,52597,4984,417,390,2296,10543,3381,9608,5261,3671,2069,2714,1856,1577,1423,5378,2704,1290,719,2906,1643,9763,5348,11995,3649,2597,3645,1785,2530,442,4024,3986,5363,6911,15302,2259,562,994,2328,1063,638,657,834,867,12837,2626,8908,138,65683,686,5551,6879,2441,12726,206,478,14066,1587,2172,1195,3658,19336,502,379,1930,841,1203,531,481,1659,429,2010,1895,1584,234,214,2546,210,107,558,563,754,441,861,2030,277,353,114,7287,239,1119,114,3526,413,1304,250,1121,247,1611,1170,42,104,1278,163,432,124,808
"WANDRO_54",6067961,901861,183822,2841285,141678,32878,803010,46434,7345122,117516,4439553,3596814,1572015,59624,90716,304069,110895,59856,27001,247098,754762,7019,2245857,73197,3399,130337,27841,4422,91309,282238,24333,225961,5354,15609,45945,9694,1947513,162336,36235,94160,184186,73909,144848,31857,296370,142724,4904,497,41365,549690,9612,33854,65759,30369,2849,34674,12811,10270,1194118,129512,43002,42475,10221,23358,17185,15725,122522,13545,12648,54833,40583,62857,18540,1993,130783,913,60886,5486,20948,45452,58613,2330,1318,48189,6457,1595,17387,44729,9110,4901,2811,1211,8031,86180,8108,29534,1478,9941,8180,1708,4241,185,8875,4244,8973,7206,877,13058,29079,15516,6030,4904,11010,740,52774,976,9748,11769,1484,112,1213,8267,1743,6422,278,21412,1239,11909,937,18337,1381,581,13594,5140,7501,3355,26948,6591,174,43313,1782,953,3932,5919,593,1062,9253,267,5624,1141,2760,5776,1620,1392,7626,2864,495,1682,1499,8954,2702,606,274,146,2595,5923,7780,3003,187,1326,9080,3810,1388,802,9466,573,1892,607,3239,1865,482,4224,1548,1326,3530,916,341,823,841,356,3358,4360,534,1016,4656,2178,917,2147,911,258,263,270,1633,1607,269,456,185,430,2576,658,337,323,2194,694,265,292,213,138,250,246,597,297,288,119
"WANDRO_55",4705008,1293416,132361,1962701,145107,20588,533265,86770,11702295,291992,3059962,640210,380149,274442,277293,424902,219449,14107,37380,2104295,106404,4001,2280703,170126,2255,322981,97437,4997,156596,385663,45423,362136,7343,51367,28333,7275,107140,109219,25300,80164,1233792,236593,301922,24903,68986,269934,619,275,66657,523559,280,26439,103946,82912,2341,7486,26623,17581,1850101,52779,84477,6337,6909,13523,27503,12997,98577,12795,14698,459009,69643,54628,11781,1577,185498,606,44253,24672,32869,24417,147743,1365,696,32642,4188,2890,16410,25165,3672,9517,1587,1184,12461,214001,5996,13071,4891,5704,4975,3253,1654,1116,16756,6413,6182,5272,694,11063,55142,8850,9225,5365,32023,1636,52292,470,5714,33217,2286,74,2598,11698,1206,9085,493,5793,735,7858,996,1689,927,1052,25465,2664,1810,22557,17062,4068,176,2032,1046,791,1659,3244,512,677,8767,167,2279,755,1070,1475,1023,2452,3417,1734,420,896,866,2924,1587,413,459,1108,500,19725,2486,2776,131,644,13592,6903,863,909,16555,1715,14478,253,6993,1113,298,4245,628,430,1460,715,197,439,329,401,1426,8486,349,308,1573,12814,528,5351,579,236,629,111,267,329,133,251,83,198,476,2387,163,189,772,461,205,215,273,88,166,191,173,260,192,344
"WANDRO_56",4010159,3935033,5278881,1370824,2163395,1708255,1838542,4228,9270565,390330,37235,118760,421528,38955,124586,435427,195493,426354,405474,21974,47478,596568,104780,41598,2015697,132003,31992,112086,40804,4945,167730,106564,36948,24763,190369,60005,185381,96381,144752,227000,750723,75353,22568,52892,16514,26168,3329,61323,24431,102812,578,47025,58917,24589,2752,8946,53305,15284,8713,79928,52876,10524,36893,140235,36931,157991,2916,108570,48611,1517,6357,12253,17524,3843,33260,15557,27366,2800,4798,13512,44288,25104,49647,5333,36804,4996,18111,12482,4589,10482,7045,8677,6945,138101,5981,17850,1206,31176,24542,89244,1902,1372,2185,17099,26097,23462,21259,5922,40418,5247,5961,21991,7113,29361,43353,3933,3430,876,19046,99,875,3370,3394,5588,2175,4618,318,419,1061,3991,371,2460,14771,2263,2077,10069,1416,2064,2419,31658,2137,1417,1222,3567,1159,505,3549,746,2635,918,2834,5309,119,10439,937,1850,307,320,4182,795,1719,2734,12258,1940,707,20423,117,2345,1796,2429,6994,687,904,252,2156,704,9287,498,9013,1982,362,1303,2085,747,1445,205,703,571,3324,259,6146,451,143,1176,198,136,758,436,802,687,72,1222,315,541,126,1736,82,183,317,1289,271,1271,516,819,172,1377,185,498,72,202,86,215,225,539
"WANDRO_57",6468076,4052897,4292094,667901,1190387,5287097,1934383,1443275,3872501,1423457,16190,18049,61912,967245,668056,362761,1084479,881937,557407,13493,313,709365,18263,470172,105719,158855,279977,92395,109911,4271,30624,121610,2244,60703,201408,179660,251,68898,110813,92361,6396,42247,5735,70101,5176,4837,60921,190831,8086,1730,40695,30040,90917,79974,1258,362,37669,24796,947,1333,16490,432,54456,4501,85887,44588,1955,37672,25171,219,39729,2947,36242,80671,7639,2063,25646,17784,31688,15944,13769,8534,12788,11593,3459,3199,10874,8035,26092,9737,17341,17121,1064,1994,2988,5010,18382,3703,4119,1265,16561,21990,254,19437,15361,13577,5380,1243,2863,3134,14686,2896,12280,1350,31315,10423,421,3049,256,592,2460,1970,8964,2861,742,5776,463,482,1455,1175,4666,796,4181,2349,1064,1278,519,2531,866,1529,3053,3463,2071,3288,12911,3697,1075,211,284,4310,2315,1493,3161,224,2024,1569,721,599,2043,1040,1181,2596,128,1055,443,195,165,1566,2903,1026,532,217,873,776,312,1166,995,2005,954,339,415,511,470,702,281,536,517,405,1443,899,495,132,1133,765,83,80,476,204,511,619,203,1095,220,214,148,122,48,911,250,246,3880,301,71,285,195,139,173,151,114,324,113,89,142,56
"WANDRO_58",7172720,6240432,7417804,1038834,2353115,1984096,2464946,41048,700601,234188,499549,1608168,69400,9793,35861,122683,490938,1188122,656848,23950,166419,1390203,49754,31869,10037,24514,1759,242533,19963,38939,111514,76097,17922,3220,98725,22812,20545,153345,124014,135307,7071,8174,6143,53878,44875,37194,2681,510861,10286,30489,517,24409,23929,145755,125,9312,308407,5982,6426,89379,12646,10980,73452,27603,69104,315219,18505,37711,32810,190,10532,23138,143471,23764,11723,650,44907,130,15599,17168,14194,1952,2648,4392,6767,109249,11577,6906,6797,5345,10843,4838,836,1595,3680,5904,2094,2796,4990,530,6454,14913,117,14412,11514,8421,3271,1685,18379,8528,4117,1924,2414,553,5224,1572,1252,171,1238,374,2438,11340,8664,12767,710,13376,292,578,936,6934,206,2060,1871,4415,3464,8811,680,3397,336,6440,2314,613,2393,4953,5621,782,2207,341,2193,1309,964,3247,207,4023,917,3635,289,538,5330,844,922,6211,189,1249,1211,2255,139,2732,278,261,789,3472,995,378,820,237,312,1087,1202,9876,262,786,1313,718,617,894,466,742,1415,399,1363,308,390,494,368,217,1107,1132,710,659,75,1683,609,435,131,174,95,179,211,117,104,449,361,436,442,131,167,151,128,113,250,102,268,115
"WANDRO_59",2398523,4898707,6528554,2001773,4028795,3578438,2865637,5994288,28664,1574067,8718,91285,626392,7591,4590,47092,585612,7023,634874,39821,46318,49337,23737,5267,7540,211969,6540,12343,86886,53849,16081,19109,8838,21851,223072,213110,10671,132902,361202,286080,139,28550,5455,34993,7497,3799,15869,5542,4147,1037,7871,2380,92829,194871,375407,1184,4723,999,2661,13994,12671,1385,8487,2313,60112,7214,40446,146396,52728,264,3422,9379,5164,2564,56585,16653,19851,944,38788,16092,674,2334,119043,4222,7447,98859,27708,4723,8530,725,13064,10240,5311,2331,3584,279,24019,8041,3992,5375,903,2210,1368,13319,22003,26246,3623,9508,5758,6777,3700,5592,9832,1112,110580,3662,1554,411,2429,197,671,1069,14407,1304,1751,1741,1766,670,9112,4604,809,245,2132,3633,3030,924,815,3161,10389,3493,846,450,2425,4206,263,3004,894,276,1170,1336,2062,6697,441,218,1104,6017,172,2302,304,1478,1296,533,184,946,2092,254,487,6133,226,3283,1619,408,1992,3121,1414,12598,834,334,3941,413,553,371,1146,501,397,11966,1482,749,1724,131,440,177,262,1053,994,199,665,379,1884,585,92,125,340,343,612,454,507,185,639,259,81,807,108,452,229,126,172,83,1177,101,164,237,204,102
"WANDRO_60",7243245,2681337,9880292,3017922,2879402,981378,2551731,153746,41862,1588051,20610,19645,964023,71419,60118,89003,984902,38513,739668,175146,475,19606,51280,38669,24895,246798,45346,4310,201564,120604,29064,41346,22388,34731,374337,233082,1503,223175,420220,535422,461,11661,76421,63143,8258,11350,105411,2783,14202,2253,73885,17781,98945,234258,38204,1631,4304,990,2627,14871,50924,2194,7474,7836,114564,21291,81349,232887,107726,3268,17650,1053,4237,6480,7678,27797,33709,8047,73703,35688,4142,1475,277725,3261,8072,83386,36696,11908,4990,1845,5145,16362,40169,16076,27589,307,21552,22401,11566,18397,34280,19151,7670,6539,28407,53270,1088,15961,4736,10956,13742,20934,5972,8402,2405,25003,3665,5973,5805,686,2159,739,10395,1672,1402,5744,22993,1181,24395,26702,8728,1897,3380,14535,20929,2532,1526,11649,10677,2645,1803,918,4687,7618,909,1531,1540,370,2670,6933,4234,7445,7075,366,2272,4518,2140,14728,4144,842,8840,313,514,2585,24186,130,2982,3780,1398,7365,3275,595,7106,3807,1138,62806,1412,1119,168,1114,3005,793,3350,1033,1557,3975,1890,4202,1885,258,1318,412,2645,1924,948,260,1258,342,1349,1295,405,702,455,2694,3841,1254,1229,1436,405,665,870,1098,898,513,415,767,433,492,1525,465,264,525,587,169
"WANDRO_61",2796077,3423975,358736,1363372,1143264,58554,869208,6486879,184729,2204899,8594,315,203849,3715172,5388199,1526414,526408,12381,373483,8922,186,6581,114697,928755,2654,1656665,674916,3189,996987,15199,277454,44569,1510,808303,64848,771848,277804,52843,22397,36935,538,87294,6113,45748,59918,13041,13250,547,10454,2233,159089,29677,38474,45131,9009,275,26723,53321,21938,2528,7313,275,2444,179337,101094,17262,7289,10602,111841,4837,53724,3358,4475,136612,17418,2284,12670,47860,2221,12818,6803,86077,20689,43440,6098,45800,6433,9374,16911,16444,2446,39622,5658,13493,2225,8711,123246,11482,6878,311,21557,29533,3753,2547,8149,8691,21079,2721,2296,6938,3624,1608,20218,22228,14204,25989,2473,4589,21862,871,70687,125,2476,625,2060,5970,2563,450,9226,3406,10338,1964,4778,2846,1593,3648,1918,18725,20622,773,12569,8303,7933,2906,535,5799,713,2942,778,9347,4197,5863,4800,628,19824,10017,911,1259,2399,1328,2719,386,1493,7222,261,55,3249,1551,8838,960,1701,507,1140,2946,865,3420,366,2609,6616,933,1390,1043,2730,2135,263,570,455,570,761,1713,783,1000,331,214,145,151,637,201,575,1168,790,464,222,292,152,347,349,427,242,665,612,372,64,387,289,126,205,123,241,705,72,362,143,548
"WANDRO_62",6597287,5266178,2420705,2899568,4450668,309950,1850737,14044,425521,163317,123183,1474,575830,865002,303172,288795,802890,60056,544729,113752,2552,63144,1176038,246987,7130,157578,117617,16052,89219,106810,55385,186707,10610,33824,461313,1245966,36815,33924,104922,250271,4174476,51357,198693,134329,13178,147748,1154,4456,34113,213399,853,36811,243526,74375,1190,875,20421,38329,144475,1144,36007,875,2123,43251,110299,3174,4041,52459,169105,74921,64967,13508,6606,1548,13962,664,23327,16998,69007,27225,9515,1355,3070,11354,1833,14415,24180,54348,21543,19536,6031,79761,1508,2080,1309,35184,5552,14681,66049,6099,1147,750,132,4479,48578,24178,3237,9329,5423,8071,5852,7181,13109,1022,3216,6388,19262,11949,1312,218,2429,1610,11112,3847,12099,50183,644,408,1136,2159,70198,1262,5023,5371,3548,4452,14376,6329,122,974,22221,17642,5941,4381,2571,15609,1241,279,1185,3343,792,639,795,2895,1582,2667,3899,7326,3091,9548,2526,302,273,10435,212,86721,1861,6382,242,6217,4969,1614,3959,712,3989,841,922,995,30298,1484,1954,1560,2739,434,2510,487,207,1992,4531,3565,327,189,1022,718,180,1422,595,285,615,2143,231,117,398,611,2201,96,236,586,1256,360,137,397,668,409,340,405,121,36,404,243,261,532,183,76
"WANDRO_63",5548218,2792487,2019792,3108004,10866389,324757,3188189,226136,16333,38167,9639,536,595466,127386,1125646,115857,2329822,142622,279428,116872,20711,45450,381865,130242,14654,52070,27633,10241,11984,9130,129844,50890,2677,21768,170164,1045689,38230,265170,91373,115623,7677,14786,17232,93334,2957,8773,2136,5506,11829,2301,4614,45448,108406,263715,44440,315,464988,124864,2264,139382,7001,315,8968,67813,323546,20138,892,38088,275359,688,160043,4663,14921,12633,34285,4695,33506,5435,10224,9762,7979,34216,190285,75738,88042,173578,29042,18302,15494,43993,13619,115188,11239,2480,49381,16121,17375,75323,31952,2881,1495,799,4046,10226,20713,35163,2055,12945,13655,15307,6092,7284,13547,361,4531,737,3242,9501,7458,617,1664,1460,9110,6303,5784,4054,1354,878,6500,3606,7306,3950,2623,11940,5415,6241,7222,28135,860,1099,67862,25438,153854,10125,1551,26660,1527,1114,1605,26134,10971,15561,1308,3560,5007,5833,3196,2439,7040,1249,5728,1421,819,16065,624,337,10125,5089,701,7606,2881,6974,4912,5710,2134,514,1244,5946,288,649,740,3102,3102,268,831,2156,4277,2222,1357,895,6005,737,674,2016,533,243,2087,541,1386,3115,772,1069,978,718,322,408,713,352,187,1160,824,2839,133,1150,1903,219,450,209,762,526,521,605,777,2306
"WANDRO_64",7744844,1943583,5460203,1245661,1787234,2354690,1517426,7139768,4848,143749,1296,73,5260,1311016,1638573,45433,2526091,112545,601336,20890,7781,99204,35348,697517,2331,32247,12206,17455,68368,12030,8314,7299,10289,45131,291527,84575,3771,25437,189643,95913,2157,5196,7336,153044,1008,14904,48263,11666,7406,784,160591,189160,93499,275286,9420,353,63682,39199,713,7355,3876,353,12400,4827,104448,72122,4062,46937,40255,93285,49050,411,17724,54953,7055,3757,8052,29310,4106,4133,4278,2633,135260,2583,22016,14702,15003,8118,10615,14364,61600,20095,2556,15853,4155,4914,6776,7695,6873,325,21921,37117,583,9061,18390,12643,9692,1203,4419,3756,1529,2889,10700,4825,12400,4082,2029,4092,4408,970,901,889,11452,5094,1051,3356,7249,299,2938,747,4373,1048,2344,2248,40791,9122,372,10845,2307,3637,4444,4780,5119,3671,17587,1501,2578,721,734,3708,2704,10219,3007,270,5157,10704,25350,1496,1615,659,1036,687,203,8964,167,91,3084,1423,436,816,365,262,922,2814,637,163,400,4857,7675,334,541,723,807,175,161,612,6367,549,1383,208,5361,204,761,694,177,895,531,205,580,765,501,195,268,158,68,119,168,202,101,911,116,605,47,220,563,286,68,109,504,418,209,250,108,105
"WANDRO_65",1385715,98021,68636,2639921,58405,72631,172143,307638,2247280,2504865,7736282,468479,1569789,1314540,1638762,371274,91728,43795,11162,7536384,2873,12732,28476,542775,14953,128300,646441,3563,569831,34356,13301,1845960,4259,294264,38831,5851,41571,452893,19282,25880,45140,289859,118940,184353,4192,1058898,58710,1112,18335,314236,2371,25661,22931,9042,7510,63608,3887,20865,56683,2822,300137,54544,6480,24713,18001,5263,13456,6388,2752,1112,188958,2844,18259,23404,18916,3219,87559,25130,43407,141505,11556,3623,7513,143841,1494,2536,12570,18862,58431,9350,1538,1195,785,26163,2800,35119,54687,24656,7628,2148,1672,76969,327,248320,5902,7176,2082,20966,4599,7303,8044,5959,3401,3178,18205,23423,23773,13285,2473,2536,27685,38573,6223,19600,10183,4443,54188,931,7288,9306,5409,569,12176,11298,7917,84037,2829,13409,13050,1255,6776,1576,10450,12443,2199,3251,772,671,1144,9331,3750,3512,4256,728,5111,5206,1716,4024,499,5320,7748,1363,1062,362,2460,1294,1077,1007,9169,3887,1615,543,2371,12007,671,2841,7475,2263,725,683,7453,3248,3137,1322,3121,2571,375,1885,1360,1802,1856,563,3080,1176,3458,1246,2431,639,1669,1046,2155,645,1856,1691,420,410,251,467,1205,798,5193,620,1913,950,556,521,737,242,582,756,2806,1376,540,1605
